tconst	name	date	prod_budget	domestic_gross	worldwide_gross	isAdult	startYear	runtimeMinutes	genres
tt4154796	Avengers: Endgame	2019	400000000	858373000	2797800564	0	2019	181	Action,Adventure,Drama
tt1298650	Pirates of the Caribbean: On Stranger Tides	2011	379000000	241063875	1045663875	0	2011	136	Action,Adventure,Fantasy
tt2395427	Avengers: Age of Ultron	2015	365000000	459005868	1403013963	0	2015	141	Action,Adventure,Sci-Fi
tt4154756	Avengers: Infinity War	2018	300000000	678815482	2048359754	0	2018	149	Action,Adventure,Sci-Fi
tt0974015	Justice League	2017	300000000	229024295	655945209	0	2017	120	Action,Adventure,Fantasy
tt2379713	Spectre	2015	300000000	200074175	879620923	0	2015	148	Action,Adventure,Thriller
tt3778644	Solo: A Star Wars Story	2018	275000000	213767512	393151347	0	2018	135	Action,Adventure,Sci-Fi
tt0401729	John Carter	2012	263700000	73058679	282778100	0	2012	132	Action,Adventure,Sci-Fi
tt2975590	Batman v Superman: Dawn of Justice	2016	263000000	330360194	873634919	0	2016	151	Action,Adventure,Sci-Fi
tt6105098	The Lion King	2019	260000000	543638043	1656943394	0	2019	118	Adventure,Animation,Drama
tt0398286	Tangled	2010	260000000	200821936	585727091	0	2010	100	Adventure,Animation,Comedy
tt0413300	Spider-Man 3	2007	258000000	336530303	894860230	0	2007	139	Action,Sci-Fi
tt3498820	Captain America: Civil War	2016	250000000	408084349	1153284349	0	2016	147	Action,Adventure,Sci-Fi
tt0417741	Harry Potter and the Half-Blood Prince	2009	250000000	302089278	935213767	0	2009	153	Action,Adventure,Family
tt1170358	The Hobbit: The Desolation of Smaug	2013	250000000	258241522	960241522	0	2013	161	Adventure,Fantasy
tt2310332	The Hobbit: The Battle of the Five Armies	2014	250000000	255119788	945577621	0	2014	144	Adventure,Fantasy
tt4630562	The Fate of the Furious	2017	250000000	225764765	1238764765	0	2017	136	Action,Adventure,Crime
tt1775309	Avatar	2009	237000000	760507625	2788701337	0	2011	93	Horror
